TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | Painted dog species | species:canid
crescent_print | Crescent-print pattern | coat:pattern
cuffs_(clothing) | Cuffs (clothing) | clothing:general
cum_on_pectorals | Cum on pectorals | anatomy:torso
detached_collar | Detached collar | clothing:general
diaper_fetish | Diaper fetish | clothing:general
dominant_anthro | An anthro character holding the dominant role in the scene, species form as the controller. | species:other
dominant_feral | A feral character holding the dominant role in the scene, quadruped form as the controller. | species:other
dominant_human | A human character holding the dominant role in the scene, human form as the controller. | species:other
dominant_humanoid | A humanoid character holding the dominant role in the scene, human-shaped form as controller. | species:other
domino_mask | Domino mask | clothing:general
ear_markings | Ear markings | coat:pattern
eye_markings | Eye markings | coat:pattern
face_tentacles | Tentacles emerging from the face, eldritch or cephalopod facial anatomy. | anatomy:fantasy
facial_horn | Facial horn | head:general
facial_mark | Marking on face | head:face
facial_markings | Facial markings | coat:pattern
facial_piercing | Facial piercing | clothing:general
facial_scar | Scar on face | head:face
facial_spikes | Spikes on face | head:face
facial_tattoo | Tattoo on face | head:face
facial_tuft | Tuft of fur on face | head:face
fake_facial_hair | Fake facial hair | hair:colour
female_adolescent | Female teenage-range character between child and adult, development still in progress. | age
feral_on_feral | A scene with both partners feral, two fully quadrupedal animal characters together. | species:other
fingering_through_clothes | Fingering through clothes | clothing:general
fingering_through_panties | Fingering through panties | clothing:general
fingerless_(marking) | Fingerless-glove style marking | coat:pattern
floral_print_bikini | Floral print bikini | clothing:general
floral_print_dress | Floral print dress | clothing:general
floral_print_kimono | Floral print kimono | clothing:general
floral_print_skirt | Floral print skirt | clothing:general
fluffy_clothes | Fluffy clothes | clothing:general
fluffy_ears | Fluffy ears | head:ears
fluffy_hair | Fluffy hair | hair:colour
fluffy_pony | Fluffy pony (species-related) | species:equid
forehead_markings | Forehead markings | coat:pattern
frilled_collar | Frilled collar | clothing:general
frilled_sailor_collar | Frilled sailor collar | clothing:general
frilled_shirt_collar | Frilled shirt collar | clothing:general
frontless_outfit | Frontless outfit | clothing:general
fur-trimmed_collar | Fur-trimmed collar | clothing:general
fur_collar | Fur collar | clothing:general
fur_markings | Fur markings | coat:pattern
gag_harness | Gag harness | clothing:general
genital_markings | Genital markings | coat:pattern
gold_collar | Gold-coloured collar | clothing:general
golden_markings | Golden-coloured markings | coat:pattern
grabbed_by_tentacles | A character's body gripped by tentacles, held in place by the flexible limbs. | anatomy:fantasy
green_collar | Green-coloured collar | clothing:general
green_markings | Green-coloured markings | coat:pattern
green_sailor_collar | Green sailor collar | clothing:general
green_tentacles | Tentacles coloured green, tentacle anatomy rendered in green tone. | anatomy:fantasy
grey_collar | Grey-coloured collar | clothing:general
grey_inner_ear_fluff | Grey-coloured inner ear fluff | head:ears
grey_markings | Grey-coloured markings | coat:pattern
grey_sailor_collar | Grey sailor collar | clothing:general
harem_outfit | Harem outfit | clothing:general
harness_ball_gag | Harness ball gag | clothing:general
harness_gag | Harness gag | clothing:general
hatsuboshi_gakuen_school_uniform | Hatsuboshi gakuen school uniform | clothing:general
head_markings | Head markings | coat:pattern
heart_(marking) | Heart-shaped marking | coat:pattern
heart_collar | Heart collar | clothing:general
heart_facial_mark | Heart-shaped facial marking | head:face
high_collar | High collar | clothing:general
holding_hands | Holding hands | anatomy:limbs
holding_leash | Holding leash | clothing:general
hooved_plantigrade | Hooved plantigrade stance | anatomy:limbs
huge_pectorals | Huge pectorals | anatomy:torso
hugging_own_legs | Hugging own legs | anatomy:limbs
hugging_penis | A character wrapping arms or body around a penis, enveloping embrace of the shaft. | genitalia:male
hugging_tail | Hugging tail | anatomy:tail
inner_ear_fluff | Fluff inside the ears | head:ears
iridescent | Iridescent shimmer | coat:colour
iridescent_clothes | Iridescent clothes | clothing:general
kissing_penis | Lips pressing softly to a penis, worshipful kiss rather than oral. | genitalia:male
large_pectorals | Large pectorals | anatomy:torso
leash_in_mouth | Leash in mouth | clothing:general
leashed_collar | Leashed collar | clothing:general
leg_markings | Leg markings | coat:pattern
licking_breast | Licking breast | anatomy:torso
licking_cum | A character licking ejaculate from skin, surface, or partner's body. | genitalia:male
licking_own_lips | Licking own lips | head:mouth
licking_penis | A tongue dragged along a penis, oral contact focused on the shaft. | genitalia:male
licking_tongue | Licking tongue | head:mouth
little_red_riding_hood | Little red riding hood | clothing:general
little_red_riding_hood_(copyright) | Little red riding hood (copyright) | clothing:general
little_red_riding_hood_(fairy_tale) | Little red riding hood (fairy tale) | clothing:general
little_red_riding_hood_(fairy_tale_character)_(cosplay) | Little red riding hood (fairy tale character) (cosplay) | clothing:general
macro_anthro | A giant-scale anthro character, towering over partners or environment as the scale premise. | species:other
macropod | A member of the kangaroo family, hopping marsupial group including wallabies and tree-kangaroos. | species:other
mandarin_collar | Mandarin collar | clothing:general
marking_on_cheek | Marking on cheek | head:face
masturbation_through_clothes | Masturbation through clothes | clothing:general
masturbation_under_clothes | Masturbation under clothes | clothing:general
matching_outfits | Characters in matching outfits | clothing:general
metal_collar | Metal collar | clothing:general
micro_anthro | A miniature-scale anthro character, small enough to fit in a hand or smaller. | species:other
micro_bikini | Micro bikini | clothing:general
micro_bra | Micro bra | clothing:general
micro_panties | Micro panties | clothing:general
micro_shorts | Micro shorts | clothing:general
microbat | A member of the microbat suborder, the small echolocating bats rather than the larger fruit bats. | species:other
microdress | Microdress | clothing:general
micropenis | An unusually small penis, notably below clinical average, humiliation-coded. | genitalia:male
microskirt | Microskirt | clothing:general
miko_outfit | Miko outfit | clothing:general
milking_tentacles | Tentacles actively drawing fluid from a character, whether cum, milk, or magical essence. | anatomy:fantasy
mole_on_collarbone | A beauty mark or dark spot drawn on a character's collarbone as a distinguishing feature. | species:other
mostly_nude_intersex | Mostly nude intersex | clothing:general
multi-strapped_bikini_bottom | Multi-strapped bikini bottom | clothing:general
multi-strapped_bikini_top | Multi-strapped bikini top | clothing:general
multi-strapped_panties | Multi-strapped panties | clothing:general
multicolored_markings | Multicolored-coloured markings | coat:pattern
muscular_dom | Dominant-role character with visibly muscular build, physical presence central to the dominance dynamic. | body_type
muscular_sub | Submissive-role character with visibly muscular build, the physical power inverted against the power dynamic. | body_type
muzzle_(marking) | Muzzle marking | coat:pattern
mythological_bird | Mythological bird (species-related) | species:avian
mythological_firebird | A firebird from myth or legend, typically phoenix-adjacent fantasy creature. | species:mythical
mythological_sphinx | A sphinx rendered in the traditional mythological sense rather than modern redesigns. | species:mythical
neck_markings | Neck markings | coat:pattern
nipple_fetish | Nipple fetish | anatomy:torso
nude_intersex | Nude intersex | clothing:general
nun_outfit | Nun outfit | clothing:general
o-ring_collar | O-ring collar | clothing:general
obidome | Obidome (kimono sash clasp) | clothing:general
open_collar | Open collar | clothing:general
orange_inner_ear_fluff | Orange-coloured inner ear fluff | head:ears
orange_markings | Orange-coloured markings | coat:pattern
orange_sailor_collar | Orange sailor collar | clothing:general
oversized_clothes | Oversized clothes | clothing:general
oversized_clothing | Oversized clothing | clothing:general
oversized_pants | Oversized pants | clothing:general
oversized_shirt | Oversized shirt | clothing:general
oversized_wings | Wings rendered far larger than the body scale would support, the exaggeration the point. | anatomy:fantasy
padlocked_collar | Padlocked collar | clothing:general
paizuri_under_clothes | Paizuri under clothes | clothing:general
pawprint_(marking) | Pawprint-shaped marking | coat:pattern
pectoral_bulge | A visible bulge beneath clothing over the pectorals rather than the genitals. | genitalia:male
pectorals | Pectoral muscles visible | anatomy:torso
pendant_collar | Pendant collar | clothing:general
penis_tentacles | Penis-shaped tentacles, or tentacles that function as penises for penetration. | anatomy:fantasy
pink_collar | Pink-coloured collar | clothing:general
pink_markings | Pink-coloured markings | coat:pattern
pink_sailor_collar | Pink sailor collar | clothing:general
piranha_plant | Piranha plant (species-related) | species:fish
plant_girl | A female plant-creature character, botanical anatomy on a feminine frame. | species:mythical
plant_hair | Plant hair | hair:colour
plant_humanoid | A humanoid with plant features on a human-shaped body, leaves, flowers, or roots replacing traits. | species:other
plantar_flexion | Plantar flexion of foot | anatomy:limbs
plantigrade_pawpads | Plantigrade pawpads | anatomy:limbs
platform_boots | Platform boots | clothing:general
platform_footwear | Platform shoes | clothing:general
platform_heels | Platform heels | clothing:general
platform_sandals | Platform sandals | clothing:general
platform_shoes | Platform shoes | clothing:general
popped_collar | Popped collar | clothing:general
prehensile_clitoral_hood | Prehensile clitoral hood | clothing:general
purple_collar | Purple-coloured collar | clothing:general
purple_markings | Purple-coloured markings | coat:pattern
purple_sailor_collar | Purple sailor collar | clothing:general
purple_tentacles | Tentacles coloured purple, tentacle anatomy rendered in purple tone. | anatomy:fantasy
realistic_penis_size | A penis drawn at realistic proportions rather than exaggerated or miniaturised. | genitalia:male
red_bandeau | Red-coloured bandeau | clothing:general
red_collar | Red-coloured collar | clothing:general
red_inner_ear_fluff | Red-coloured inner ear fluff | head:ears
red_markings | Red-coloured markings | coat:pattern
red_sailor_collar | Red sailor collar | clothing:general
restrained_by_tentacles | Tentacles wrapping a character and holding them immobile, living restraint. | anatomy:fantasy
reverse_outfit | Reverse outfit | clothing:general
