TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | Painted dog species
tail_fin | imported from e621 (e621 cat 0)
tail_genitals | imported from e621 (e621 cat 0)
tail_gesture | imported from e621 (e621 cat 0)
tail_heart | imported from e621 (e621 cat 0)
tail_in_vagina | imported from e621 (e621 cat 0)
tail_insertion | imported from e621 (e621 cat 0)
tail_jewelry | imported from e621 (e621 cat 0)
tail_mane | imported from e621 (e621 cat 0)
tail_motion | imported from e621 (e621 cat 0)
tail_ornament | imported from e621 (e621 cat 0)
tail_penis | imported from e621 (e621 cat 0)
tail_piercing | imported from e621 (e621 cat 0)
tail_play | imported from e621 (e621 cat 0)
tail_pull | imported from e621 (e621 cat 0)
tail_raised | imported from e621 (e621 cat 0)
tail_ribbon | imported from e621 (e621 cat 0)
tail_ring | imported from e621 (e621 cat 0)
tail_spines | imported from e621 (e621 cat 0)
tail_through_clothes | imported from e621 (e621 cat 0)
tail_through_skirt | imported from e621 (e621 cat 0)
tail_tied | imported from e621 (e621 cat 0)
tail_under_skirt | imported from e621 (e621 cat 0)
tail_wrap | imported from e621 (e621 cat 0)
tail_wraps | imported from e621 (e621 cat 0)
tailband | imported from e621 (e621 cat 0)
tailbutt | imported from e621 (e621 cat 0)
tailcoat | imported from e621 (e621 cat 0)
tailed_humanoid | imported from e621 (e621 cat 5)
tailless | imported from e621 (e621 cat 0)
tailwag | imported from e621 (e621 cat 0)
tale_of_tails | imported from e621 (e621 cat 3)
talking_feral | imported from e621 (e621 cat 0)
tall_female | imported from e621 (e621 cat 0)
tall_grass | imported from e621 (e621 cat 0)
tall_image | imported from e621 (e621 cat 5)
tally | imported from e621 (e621 cat 0)
tally_marks | imported from e621 (e621 cat 0)
tan_balls | imported from e621 (e621 cat 0)
tan_breasts | imported from e621 (e621 cat 0)
tan_chest | imported from e621 (e621 cat 0)
tan_clothing | imported from e621 (e621 cat 0)
tan_feathers | imported from e621 (e621 cat 0)
tan_horn | imported from e621 (e621 cat 0)
tan_nipples | imported from e621 (e621 cat 0)
tan_penis | imported from e621 (e621 cat 0)
tan_scales | imported from e621 (e621 cat 0)
tan_sheath | imported from e621 (e621 cat 0)
tan_skin | imported from e621 (e621 cat 0)
tan_tail | imported from e621 (e621 cat 0)
tan_tail_tip | imported from e621 (e621 cat 0)
tan_vulva | imported from e621 (e621 cat 0)
tapering_tail | imported from e621 (e621 cat 0)
tapir_tail | imported from e621 (e621 cat 0)
tassel | imported from e621 (e621 cat 0)
tassel_earrings | imported from e621 (e621 cat 0)
tassel_hair_ornament | imported from e621 (e621 cat 0)
tassels | imported from e621 (e621 cat 0)
teal_clothing | imported from e621 (e621 cat 0)
tearing_clothing | imported from e621 (e621 cat 0)
tears_of_joy | imported from e621 (e621 cat 0)
tears_of_pain | imported from e621 (e621 cat 0)
tears_of_pleasure | imported from e621 (e621 cat 0)
tears_of_themis | imported from e621 (e621 cat 3)
teen_titans | imported from e621 (e621 cat 3)
teenage_mutant_ninja_turtles | imported from e621 (e621 cat 3)
teeth_hold | imported from e621 (e621 cat 0)
teeth_showing | imported from e621 (e621 cat 0)
tennis_ball | imported from e621 (e621 cat 0)
testicle_cuff | imported from e621 (e621 cat 0)
testicle_grab | imported from e621 (e621 cat 0)
text_on_clothing | imported from e621 (e621 cat 0)
the_amazing_world_of_gumball | imported from e621 (e621 cat 3)
these_aren't_my_glasses | imported from e621 (e621 cat 0)
thick_chest_hair | imported from e621 (e621 cat 0)
thigh_belt | imported from e621 (e621 cat 0)
thigh_boots | imported from e621 (e621 cat 0)
thigh_cutout | imported from e621 (e621 cat 0)
thigh_focus | imported from e621 (e621 cat 0)
thigh_gap | imported from e621 (e621 cat 0)
thigh_highs_only | imported from e621 (e621 cat 0)
thigh_holster | imported from e621 (e621 cat 0)
thigh_pouch | imported from e621 (e621 cat 0)
thigh_ribbon | imported from e621 (e621 cat 0)
thigh_socks | imported from e621 (e621 cat 0)
thigh_squish | imported from e621 (e621 cat 0)
thigh_strap | imported from e621 (e621 cat 0)
thigh_tattoo | imported from e621 (e621 cat 0)
thigh_tuft | imported from e621 (e621 cat 0)
thighband | imported from e621 (e621 cat 0)
thighband_pantyhose | imported from e621 (e621 cat 0)
thighhighs | imported from e621 (e621 cat 0)
thighhighs_over_pantyhose | imported from e621 (e621 cat 0)
thighhighs_pull | imported from e621 (e621 cat 0)
thighhighs_under_boots | imported from e621 (e621 cat 0)
thighlet | imported from e621 (e621 cat 0)
thighs | imported from e621 (e621 cat 0)
thin_calves | imported from e621 (e621 cat 0)
thin_eyebrows | imported from e621 (e621 cat 0)
thin_legs | imported from e621 (e621 cat 0)
thin_thighs | imported from e621 (e621 cat 0)
thinking | imported from e621 (e621 cat 0)
thinking_with_portals | imported from e621 (e621 cat 0)
thorns | imported from e621 (e621 cat 0)
threaded_by_penis | imported from e621 (e621 cat 0)
throbbing_balls | imported from e621 (e621 cat 0)
throbbing_penis | imported from e621 (e621 cat 0)
throwing | imported from e621 (e621 cat 0)
throwing_knife | imported from e621 (e621 cat 0)
tiger_tail | imported from e621 (e621 cat 0)
tight_clothing | imported from e621 (e621 cat 0)
tight_foreskin | imported from e621 (e621 cat 0)
tight_shorts | imported from e621 (e621 cat 0)
tiny_toon_adventures | imported from e621 (e621 cat 3)
tinygaypirate | imported from e621 (e621 cat 8)
toaru_majutsu_no_index:_old_testament | imported from e621 (e621 cat 3)
toeless_thigh_highs | imported from e621 (e621 cat 0)
toilet_stall | imported from e621 (e621 cat 0)
told_you_not_to_do_that | imported from e621 (e621 cat 0)
tongue_on_penis | imported from e621 (e621 cat 0)
tongue_showing | imported from e621 (e621 cat 0)
topknot | imported from e621 (e621 cat 0)
topless_anthro | imported from e621 (e621 cat 0)
torn_clothing | imported from e621 (e621 cat 0)
torn_coat | imported from e621 (e621 cat 0)
torn_shorts | imported from e621 (e621 cat 0)
torn_thighhighs | imported from e621 (e621 cat 0)
torn_wings | imported from e621 (e621 cat 0)
touching_penis | imported from e621 (e621 cat 0)
touhou_cannonball | imported from e621 (e621 cat 3)
traditional_watercolor_(artwork) | imported from e621 (e621 cat 14)
trans_(lore) | imported from e621 (e621 cat 8)
trans_man_(lore) | imported from e621 (e621 cat 8)
trans_woman_(lore) | imported from e621 (e621 cat 8)
transformers | imported from e621 (e621 cat 3)
transformers:_generation_1 | imported from e621 (e621 cat 3)
transgender_pride_colors | imported from e621 (e621 cat 0)
translated_description | imported from e621 (e621 cat 14)
translation_check | imported from e621 (e621 cat 14)
translucent | imported from e621 (e621 cat 0)
translucent_body | imported from e621 (e621 cat 0)
translucent_bunnysuit | imported from e621 (e621 cat 0)
translucent_clothing | imported from e621 (e621 cat 0)
translucent_hair | imported from e621 (e621 cat 0)
translucent_legwear | imported from e621 (e621 cat 0)
translucent_shirt | imported from e621 (e621 cat 0)
translucent_swimwear | imported from e621 (e621 cat 0)
translucent_topwear | imported from e621 (e621 cat 0)
translucent_underwear | imported from e621 (e621 cat 0)
translucent_wings | imported from e621 (e621 cat 0)
transparent | imported from e621 (e621 cat 0)
transparent_background | imported from e621 (e621 cat 0)
transparent_border | imported from e621 (e621 cat 0)
transparent_dildo | imported from e621 (e621 cat 0)
transparent_umbrella | imported from e621 (e621 cat 0)
transparent_wings | imported from e621 (e621 cat 0)
transverse_flute | imported from e621 (e621 cat 0)
treasure_chest | imported from e621 (e621 cat 0)
tree_horns | imported from e621 (e621 cat 0)
trench_coat | imported from e621 (e621 cat 0)
trenchcoat | imported from e621 (e621 cat 0)
tri_tails | imported from e621 (e621 cat 0)
tribal_clothing | imported from e621 (e621 cat 0)
trinity-fate62 | imported from e621 (e621 cat 8)
tropical_fish | imported from e621 (e621 cat 0)
tucked_penis | imported from e621 (e621 cat 0)
tufted_fur | imported from e621 (e621 cat 0)
turtleneck_sweater | imported from e621 (e621 cat 0)
tweaking_own_nipple | imported from e621 (e621 cat 0)
twintails_(hairstyle) | imported from e621 (e621 cat 0)
twintails_with_hair_base | imported from e621 (e621 cat 0)
twitching_penis | imported from e621 (e621 cat 0)
two-sided_coat | imported from e621 (e621 cat 0)
two-tone_coat | imported from e621 (e621 cat 0)
two-tone_fur | imported from e621 (e621 cat 0)
two-tone_horns | imported from e621 (e621 cat 0)
two-tone_shorts | imported from e621 (e621 cat 0)
two-tone_skin | imported from e621 (e621 cat 0)
two-tone_sweater | imported from e621 (e621 cat 0)
two-tone_tail | imported from e621 (e621 cat 0)
two-tone_thighhighs | imported from e621 (e621 cat 0)
two-tone_wings | imported from e621 (e621 cat 0)
two_tails | imported from e621 (e621 cat 0)
two_tone_clothing | imported from e621 (e621 cat 0)
two_tone_feathers | imported from e621 (e621 cat 0)
two_tone_horn | imported from e621 (e621 cat 0)
two_tone_penis | imported from e621 (e621 cat 0)
two_tone_scales | imported from e621 (e621 cat 0)
two_tone_skin | imported from e621 (e621 cat 0)
two_tone_tail | imported from e621 (e621 cat 0)
two_tone_thigh_highs | imported from e621 (e621 cat 0)
two_tone_vulva | imported from e621 (e621 cat 0)
two_tone_wings | imported from e621 (e621 cat 0)
ultra_ball | imported from e621 (e621 cat 0)
unaligned_breasts | imported from e621 (e621 cat 0)
unbirthing | imported from e621 (e621 cat 0)
unbuttoned | imported from e621 (e621 cat 0)
unbuttoned_shirt | imported from e621 (e621 cat 0)
underage_pregnancy | imported from e621 (e621 cat 0)
underbutt | imported from e621 (e621 cat 0)
uneven_balls | imported from e621 (e621 cat 0)
uneven_horns | imported from e621 (e621 cat 0)
uneven_twintails | imported from e621 (e621 cat 0)
unicorn_horn | imported from e621 (e621 cat 0)
unknown_species | imported from e621 (e621 cat 5)
unsheathed | imported from e621 (e621 cat 0)
unsheathing | imported from e621 (e621 cat 0)
untranslatable_commentary | imported from e621 (e621 cat 5)
unusual_bodily_fluids | imported from e621 (e621 cat 0)
unusual_cum | imported from e621 (e621 cat 0)
unusual_genital_fluids | imported from e621 (e621 cat 0)
unusual_lactation | imported from e621 (e621 cat 0)
unusual_penis_placement | imported from e621 (e621 cat 0)
unusual_tail | imported from e621 (e621 cat 0)
unusual_wing_placement | imported from e621 (e621 cat 0)
unusual_wings | imported from e621 (e621 cat 0)
unwanted_cum_inside | imported from e621 (e621 cat 0)
unwanted_impregnation | imported from e621 (e621 cat 0)
unworn_coat | imported from e621 (e621 cat 0)
unworn_eyepatch | imported from e621 (e621 cat 0)
unworn_shorts | imported from e621 (e621 cat 0)
upscaled | imported from e621 (e621 cat 5)
upshorts | imported from e621 (e621 cat 0)
urine_on_chest | imported from e621 (e621 cat 0)
veiny_balls | imported from e621 (e621 cat 0)
veiny_breasts | imported from e621 (e621 cat 0)
veiny_knot | imported from e621 (e621 cat 0)
veiny_muscles | imported from e621 (e621 cat 0)
ventral_scales | imported from e621 (e621 cat 0)
vertical-striped_background | imported from e621 (e621 cat 0)
vertical-striped_bikini | imported from e621 (e621 cat 0)
vertical-striped_clothes | imported from e621 (e621 cat 0)
vertical-striped_dress | imported from e621 (e621 cat 0)
vertical-striped_headwear | imported from e621 (e621 cat 0)
vertical-striped_jacket | imported from e621 (e621 cat 0)
vertical-striped_kimono | imported from e621 (e621 cat 0)
vertical-striped_panties | imported from e621 (e621 cat 0)
vertical-striped_pants | imported from e621 (e621 cat 0)
vertical-striped_pantyhose | imported from e621 (e621 cat 0)
vertical-striped_shirt | imported from e621 (e621 cat 0)
vertical-striped_shorts | imported from e621 (e621 cat 0)
vertical-striped_skirt | imported from e621 (e621 cat 0)
vertical-striped_sleeves | imported from e621 (e621 cat 0)
vertical-striped_socks | imported from e621 (e621 cat 0)
vertical-striped_thighhighs | imported from e621 (e621 cat 0)
vertical-striped_vest | imported from e621 (e621 cat 0)
vertical_cloaca | imported from e621 (e621 cat 0)
very_dark_skin | imported from e621 (e621 cat 0)
very_long_tail | imported from e621 (e621 cat 0)
very_short_hair | imported from e621 (e621 cat 0)
very_sweaty | imported from e621 (e621 cat 0)
vessel_(species) | imported from e621 (e621 cat 5)
vibrator_in_thigh_strap | imported from e621 (e621 cat 0)
vibrator_in_thighhighs | imported from e621 (e621 cat 0)
vibrator_in_vagina | imported from e621 (e621 cat 0)
vibrator_on_nipple | imported from e621 (e621 cat 0)
vibrator_on_penis | imported from e621 (e621 cat 0)
viewer_holding_phone | imported from e621 (e621 cat 0)
visibly_trans | imported from e621 (e621 cat 0)
volleyball | imported from e621 (e621 cat 0)
volleyball_(ball) | imported from e621 (e621 cat 0)
volleyball_(object) | imported from e621 (e621 cat 0)
volleyball_net | imported from e621 (e621 cat 0)
volleyball_uniform | imported from e621 (e621 cat 0)
voluptuous_anthro | imported from e621 (e621 cat 0)
vulva_blush | imported from e621 (e621 cat 0)
vulva_close-up | imported from e621 (e621 cat 0)
vulva_focus | imported from e621 (e621 cat 0)
vulva_outline | imported from e621 (e621 cat 0)
vulva_piercing | imported from e621 (e621 cat 0)
vulva_ring | imported from e621 (e621 cat 0)
waistcoat | imported from e621 (e621 cat 0)
warm_colored | imported from e621 (e621 cat 0)
warm_colors | imported from e621 (e621 cat 14)
warship | imported from e621 (e621 cat 0)
warship_girls_r | imported from e621 (e621 cat 3)
watercolor_(artwork) | imported from e621 (e621 cat 14)
watercolor_(medium) | imported from e621 (e621 cat 5)
weapon_tail | imported from e621 (e621 cat 0)
wearing_glasses | imported from e621 (e621 cat 0)
wearing_sunglasses | imported from e621 (e621 cat 0)
weasel_tail | imported from e621 (e621 cat 0)
weighing_scale | imported from e621 (e621 cat 0)
western_tally_marks | imported from e621 (e621 cat 0)
wet_clothing | imported from e621 (e621 cat 0)
wet_penis | imported from e621 (e621 cat 0)
whip_mark | imported from e621 (e621 cat 0)
whip_marks | imported from e621 (e621 cat 0)
whipping | imported from e621 (e621 cat 0)
whisker_spots | imported from e621 (e621 cat 0)
white-tailed_deer | imported from e621 (e621 cat 5)
white_balls | imported from e621 (e621 cat 0)
white_breasts | imported from e621 (e621 cat 0)
white_butt | imported from e621 (e621 cat 0)
white_butterfly | imported from e621 (e621 cat 0)
white_chest | imported from e621 (e621 cat 0)
white_claws | imported from e621 (e621 cat 0)
white_clothing | imported from e621 (e621 cat 0)
white_coat | imported from e621 (e621 cat 0)
white_horn | imported from e621 (e621 cat 0)
white_horns | imported from e621 (e621 cat 0)
white_nipples | imported from e621 (e621 cat 0)
white_pawpads | imported from e621 (e621 cat 0)
white_paws | imported from e621 (e621 cat 0)
white_penis | imported from e621 (e621 cat 0)
white_sheath | imported from e621 (e621 cat 0)
white_shorts | imported from e621 (e621 cat 0)
white_skin | imported from e621 (e621 cat 0)
white_spots | imported from e621 (e621 cat 0)
white_stripes | imported from e621 (e621 cat 0)
white_sweater | imported from e621 (e621 cat 0)
white_tail | imported from e621 (e621 cat 0)
white_tail_tip | imported from e621 (e621 cat 0)
white_thigh_highs | imported from e621 (e621 cat 0)
white_thighhighs | imported from e621 (e621 cat 0)
white_vulva | imported from e621 (e621 cat 0)
white_wings | imported from e621 (e621 cat 0)
wickerbeast | imported from e621 (e621 cat 5)
wide_hipped_anthro | imported from e621 (e621 cat 0)
wide_hipped_female | imported from e621 (e621 cat 0)
wide_hipped_gynomorph | imported from e621 (e621 cat 0)
wide_hipped_humanoid | imported from e621 (e621 cat 0)
wide_hipped_male | imported from e621 (e621 cat 0)
wide_ponytail | imported from e621 (e621 cat 0)
wine_glass | imported from e621 (e621 cat 0)
wing_boner | imported from e621 (e621 cat 0)
wing_brooch | imported from e621 (e621 cat 0)
